0c8d08cbaa0636ef93cbcb01c43a34f002bb7fdb ff67386ce3ab12e6c56ac3fa8b30543a320c604b dolphinscheduler-alert EmailAlertPluginTest.java(process) 1 17 -1 0.05882353 -0.05882353 NaN NaN NaN NaN 
0c8d08cbaa0636ef93cbcb01c43a34f002bb7fdb ff67386ce3ab12e6c56ac3fa8b30543a320c604b dolphinscheduler-api ExecutorControllerTest.java(testGetReceiverCc) 1 14 1 0.071428575 0.071428575 0.3752052545155994 0.29670329670329665 0.3752052545155994 0.29670329670329665 
0c8d08cbaa0636ef93cbcb01c43a34f002bb7fdb ff67386ce3ab12e6c56ac3fa8b30543a320c604b dolphinscheduler-api AlertGroupServiceTest.java(testDelAlertgroupById) 3 16 1 0.1875 0.0625 0.3752052545155994 0.29670329670329665 0.3752052545155994 0.29670329670329665 
0c8d08cbaa0636ef93cbcb01c43a34f002bb7fdb ff67386ce3ab12e6c56ac3fa8b30543a320c604b dolphinscheduler-dao AlertGroupMapperTest.java(testQueryByUserId) 0 10 1 0.0 0.1 0.3749808956136329 (0.37486457204767065) 0.37452239034082224 0.37594799566630555 
0c8d08cbaa0636ef93cbcb01c43a34f002bb7fdb ff67386ce3ab12e6c56ac3fa8b30543a320c604b dolphinscheduler-dao AlertGroupMapperTest.java(testQueryByAlertType) 0 7 1 0.0 0.14285715 0.3749808956136329 (0.37486457204767065) 0.37452239034082224 0.37594799566630555 
0c8d08cbaa0636ef93cbcb01c43a34f002bb7fdb ff67386ce3ab12e6c56ac3fa8b30543a320c604b dolphinscheduler-dao UserMapperTest.java(testQueryByUserNameAccurately) 1 0 1 Infinity Infinity 0.3749808956136329 (0.37486457204767065) 0.37452239034082224 0.37594799566630555 
0c8d08cbaa0636ef93cbcb01c43a34f002bb7fdb ff67386ce3ab12e6c56ac3fa8b30543a320c604b dolphinscheduler-dao UserMapperTest.java(testQueryUserByNamePassword) 2 0 1 Infinity Infinity 0.3749808956136329 (0.37486457204767065) 0.37452239034082224 0.37594799566630555 
0c8d08cbaa0636ef93cbcb01c43a34f002bb7fdb ff67386ce3ab12e6c56ac3fa8b30543a320c604b dolphinscheduler-dao UserMapperTest.java(testQueryUserListByAlertGroupId) 1 8 1 0.125 0.125 0.3749808956136329 (0.37486457204767065) 0.37452239034082224 0.37594799566630555 
14785f4e390e3f2dcbfa223bd33dbc1907f280d3 e1386793d114b07d55045ab83f33404333930efd dolphinscheduler-api ExecutorControllerTest.java(testGetReceiverCc) 1 14 1 0.071428575 0.071428575 0.3752052545155994 0.29670329670329665 0.3752052545155994 0.29670329670329665 
14785f4e390e3f2dcbfa223bd33dbc1907f280d3 e1386793d114b07d55045ab83f33404333930efd dolphinscheduler-api AlertGroupServiceTest.java(testDelAlertgroupById) 3 16 1 0.1875 0.0625 0.3752052545155994 0.29670329670329665 0.3752052545155994 0.29670329670329665 
14785f4e390e3f2dcbfa223bd33dbc1907f280d3 e1386793d114b07d55045ab83f33404333930efd dolphinscheduler-dao AlertGroupMapperTest.java(testQueryByUserId) 0 10 1 0.0 0.1 0.37452239034082224 0.37594799566630555 0.37452239034082224 0.37594799566630555 
14785f4e390e3f2dcbfa223bd33dbc1907f280d3 e1386793d114b07d55045ab83f33404333930efd dolphinscheduler-dao AlertGroupMapperTest.java(testQueryByAlertType) 0 7 1 0.0 0.14285715 0.37452239034082224 0.37594799566630555 0.37452239034082224 0.37594799566630555 
14785f4e390e3f2dcbfa223bd33dbc1907f280d3 e1386793d114b07d55045ab83f33404333930efd dolphinscheduler-dao UserMapperTest.java(testQueryByUserNameAccurately) 1 0 1 Infinity Infinity 0.37452239034082224 0.37594799566630555 0.37452239034082224 0.37594799566630555 
