deeplearning4j 6,0.03867171080285835 | 4,0.06599411517444305 | 3,0.0807061790668348 | 2,0.12862547288776796 | 1,0.2147961328289197 | 
jetty 5,0.04826600544133347 | 4,0.07908874883768985 | 3,0.09935599407652305 | 0,0.14481523573371904 | 2,0.17372662465130695 | 
hadoop 5,0.03652277518100999 | 4,0.058748052424159106 | 3,0.10113646778480433 | 2,0.13930895426633672 | 1,0.19585739162313262 | 
flink 5,0.03553690275156452 | 4,0.05227475911393663 | 3,0.07085030297010032 | 2,0.13365451475116719 | 1,0.26865004470050663 | 
kafka 5,0.014442393310891519 | 4,0.03464002606146161 | 3,0.07123466174394615 | 2,0.1622325985449017 | 1,0.31512650667824954 | 
tomcat 6,0.014320585842148088 | 3,0.05793327908868999 | 4,0.06362896663954434 | 2,0.13490642799023597 | 1,0.2590724165988609 | 
hive 8,0.02871268301958547 | 4,0.0454459022627876 | 3,0.054573112759079674 | 2,0.1370983076630538 | 1,0.22323635672181022 | 
shiro 3,0.05194805194805195 | 2,0.06493506493506493 | 4,0.07142857142857142 | 6,0.08441558441558442 | 1,0.2012987012987013 | 
hbase 6,0.042182048842372345 | 4,0.06622264509990486 | 3,0.08645734221376467 | 2,0.15290199809705043 | 0,0.23929590865842054 | 
jmeter 6,0.04065998821449617 | 3,0.05480259281084266 | 4,0.05774896876841485 | 2,0.10783736004714202 | 0,0.22569239835002947 | 
deeplearning4j 6,0.03867171080285835 | 4,0.06599411517444305 | 3,0.0807061790668348 | 2,0.12862547288776796 | 1,0.2147961328289197 | 
jetty 5,0.04826600544133347 | 4,0.07908874883768985 | 3,0.09935599407652305 | 0,0.14481523573371904 | 2,0.17372662465130695 | 
hadoop 5,0.03652277518100999 | 4,0.058748052424159106 | 3,0.10113646778480433 | 2,0.13930895426633672 | 1,0.19585739162313262 | 
flink 5,0.03553690275156452 | 4,0.05227475911393663 | 3,0.07085030297010032 | 2,0.13365451475116719 | 1,0.26865004470050663 | 
kafka 5,0.014442393310891519 | 4,0.03464002606146161 | 3,0.07123466174394615 | 2,0.1622325985449017 | 1,0.31512650667824954 | 
tomcat 6,0.014320585842148088 | 3,0.05793327908868999 | 4,0.06362896663954434 | 2,0.13490642799023597 | 1,0.2590724165988609 | 
hive 8,0.02871268301958547 | 4,0.0454459022627876 | 3,0.054573112759079674 | 2,0.1370983076630538 | 1,0.22323635672181022 | 
shiro 3,0.05194805194805195 | 2,0.06493506493506493 | 4,0.07142857142857142 | 6,0.08441558441558442 | 1,0.2012987012987013 | 
hbase 6,0.042182048842372345 | 4,0.06622264509990486 | 3,0.08645734221376467 | 2,0.15290199809705043 | 0,0.23929590865842054 | 
jmeter 6,0.04065998821449617 | 3,0.05480259281084266 | 4,0.05774896876841485 | 2,0.10783736004714202 | 0,0.22569239835002947 | 
deeplearning4j 8,0.0199203187250996 | 4,0.035856573705179286 | 3,0.053784860557768925 | 2,0.08167330677290836 | 1,0.2051792828685259 | 
jetty 5,0.04928276197422806 | 4,0.07648918064672988 | 3,0.09795769511305616 | 0,0.11395575006078289 | 2,0.1763433017262339 | 
hadoop 5,0.03289473684210526 | 4,0.03728070175438596 | 3,0.08114035087719298 | 2,0.13815789473684212 | 0,0.28289473684210525 | 
flink 6,0.01989467524868344 | 3,0.04330017554125219 | 4,0.04798127559976594 | 2,0.1240491515506144 | 1,0.3323581041544763 | 
kafka 5,0.011235955056179775 | 4,0.015730337078651686 | 3,0.04269662921348315 | 2,0.11910112359550562 | 0,0.3258426966292135 | 
tomcat 4,0.01098901098901099 | 6,0.01098901098901099 | 2,0.08791208791208792 | 1,0.18681318681318682 | 
hive 5,0.02178649237472767 | 3,0.05664488017429194 | 4,0.06100217864923747 | 0,0.09368191721132897 | 2,0.3115468409586057 | 
shiro 0,0.5 | 
hbase 6,0.010526315789473684 | 4,0.021052631578947368 | 3,0.06315789473684211 | 2,0.08421052631578947 | 0,0.23157894736842105 | 
jmeter 10,0.021739130434782608 | 0,0.08695652173913043 | 3,0.15217391304347827 | 1,0.21739130434782608 | 4,0.21739130434782608 | 
deeplearning4j 8,0.0199203187250996 | 4,0.035856573705179286 | 3,0.053784860557768925 | 2,0.08167330677290836 | 1,0.2051792828685259 | 
jetty 5,0.04928276197422806 | 4,0.07648918064672988 | 3,0.09795769511305616 | 0,0.11395575006078289 | 2,0.1763433017262339 | 
hadoop 5,0.03289473684210526 | 4,0.03728070175438596 | 3,0.08114035087719298 | 2,0.13815789473684212 | 0,0.28289473684210525 | 
flink 6,0.01989467524868344 | 3,0.04330017554125219 | 4,0.04798127559976594 | 2,0.1240491515506144 | 1,0.3323581041544763 | 
kafka 5,0.011235955056179775 | 4,0.015730337078651686 | 3,0.04269662921348315 | 2,0.11910112359550562 | 0,0.3258426966292135 | 
tomcat 4,0.01098901098901099 | 6,0.01098901098901099 | 2,0.08791208791208792 | 1,0.18681318681318682 | 
hive 5,0.02178649237472767 | 3,0.05664488017429194 | 4,0.06100217864923747 | 0,0.09368191721132897 | 2,0.3115468409586057 | 
shiro 0,0.5 | 
hbase 6,0.010526315789473684 | 4,0.021052631578947368 | 3,0.06315789473684211 | 2,0.08421052631578947 | 0,0.23157894736842105 | 
jmeter 10,0.021739130434782608 | 0,0.08695652173913043 | 3,0.15217391304347827 | 1,0.21739130434782608 | 4,0.21739130434782608 | 
